,Sentence,PreprocessedSentence,Sentiment
3750,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",operate profit exclude nonrecurring item total eur mn down from eur mn corresponding period,negative
3751,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,ugaz this cold put dent massive horizontal rig production who know,negative
3752,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",amrn full bull call spread range july to jan let we see this baby do,positive
3753,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",aapl aapl finally break under ma with no buyback this week look for aapl to test support area,negative
3754,"In a recent interview with the Financial Times ( FT ) , Sampo 's board chairman Bjorn Wahlroos said If P&C was certainly for sale and the price had been set at SEK 85 billion , confirming earlier statements .",recent interview with financial time ft sampo board chairman bjorn wahlroos say if pc be certainly for sale price have be set at sek billion confirm early statement,neutral
3755,Technopolis has approximately 130 customer companies in Jyvaskyla .,technopoli have approximately customer company jyvaskyla,neutral
3756,CRH adds CR Laurence to acquisitions tally for $1.3bn,crh add cr laurence to acquisition tally for bn,positive
3757,Nordea will coordinate the syndicated loan .,nordea coordinate syndicate loan,neutral
3758,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",operate profit total eur mn up from eur mn,positive
3759,The value of the contract is EUR 25mn .,value of contract be eur mn,neutral
3760,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,real estate company post net loss of xa million xa per share compare with net profit of xa million xa per share for corresponding quarter of,neutral
3761,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,bbcn bancorp to buy wilshire bancorp bln deal,positive
3762,Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,cramo slip to pretax loss of eur million from pretax profit of eur million,neutral
3763,"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",stora enso r share rise pct to eur upmkymmene be also drag high rise pct to eur mreal b add pct to eur,positive
3764,"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",finnish lifting equipment maker kone oyj say october it win order worth mln euro mln to deliver total of custom design elevator to norwegian shipbuilder aker yard asa,positive
3765,"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",adp news feb finnish construction company lemminkainen oyj hel lem say today its net profit decrease to eur million usd m for from eur million for,neutral
3766,"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 .",swedbank hypotek be to issue benchmark fix rate cover deal euro mature january,neutral
3767,The report will be emailed within 2 business days of an order .,report be email within business day of order,neutral
3768,"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges .",upm say move lower net profit by xac million us million second quarter mainly due to impairment charge,neutral
3769,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,finnish meat company atria can no long promise sufficient amount of domestic beef to its customer,negative
3770,Metso said it has won an order worth around 40 mln eur to supply a kraftliner board machine to China 's Lee & Man Paper Co. .,metso say it have win order worth around mln eur to supply kraftliner board machine to china lee man paper co,positive
3771,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",adp news feb finnish management software solution provider ixono oyj hel xnsv say today its net profit rise to eur million usd m for from eur million for,positive
3772,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,bullya pollux my kor call be go to b blessing for my daughter tuition !,positive
3773,"The Tekla Structures product box , if needed , is now made from recycled material .",tekla structure product box if need be now make from recycled material,neutral
3774,The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,company report loss for period of eur mn compare to loss of eur mn corresponding period,positive
3775,"Elsewhere , the tendency is towards more developed packaging than before .",elsewhere tendency be towards more developed packaging than before,neutral
3776,"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",accord to seikku retail sector finland be control by large actor while food manufacturer be still relatively small,neutral
3777,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,tesco abandon videostreaming ambition blinkbox sale,negative
3778,Royal Mail share price edges lower as group raises stamp price,royal mail share price edge lower as group raise stamp price,negative
